name,location,city,state,country,start date,end date,latitude,longitude,site url,register now url,description
City Con,,Auburndale,FL,United States,01/22/2016,01/23/2016,28.065297,-81.788691,http://auburndalefl.com/city_con/home.html,,
DeLand Comic and Collectibles Show,Volusia County Fairgrounds,DeLand,FL,United States,01/10/2016,,29.040249,-81.305915,http://cfcollectibles.com/,,
Murfreesboro Anime and Comic Kon (MACK),Clarion Inn and Suites,Murfreesboro,TN,United States,01/16/2016,01/17/2016,35.845621,-86.390270,http://www.comiccitytn.com/,,
Philadelphia Comic-Con!,Clarion Hotel Conference Center,Essington,PA,United States,01/09/2016,,39.862153,-75.296995,http://www.philadelphiacomic-con.com/,,
Los Angeles Comic Book and Science Fiction Convention,700 WEST 32ND STREET,Los Angeles,CA,United States,01/10/2016,,34.023754,-118.281053,http://www.comicbookscifi.com/,,
Albuquerque Comic Con,Albuquerque Convention Center,Albuquerque,NM,United States,01/08/2016,01/10/2016,35.086510,-106.647183,http://www.albuquerquecomiccon.com/,,
CBC Comic Book and Toy Show,Holiday Inn Daytona Beach Lpga Boulevard,Daytona Beach,FL,United States,01/16/2016,01/17/2016,29.224636,-81.091928,http://www.thecomicbookconnection.com/,,
Southern Fried Con,,Jackson,TN,United States,01/30/2016,01/31/2016,35.614517,-88.813947,http://www.southernfriedcon.com/,,
CalComicCon,Yorba Linda Community Center,Yorba Linda,CA,United States,01/31/2016,,33.888626,-117.813113,http://www.calcomiccon.com/,,
Awesome Comic Book Collector Show (Four Points by Sheraton Houston Hobby Airport),Four Points by Sheraton Houston Hobby Airport,Houston,TX,United States,01/10/2016,,29.654752,-95.278982,http://www.awesomecollectorshows.com/,,
Amazing Arizona Comic Con,Mesa Convention Center,Mesa,AZ,United States,02/13/2016,02/14/2016,33.415184,-111.831472,http://www.amazingarizonacomiccon.com/,,
FlameCon,,New York,NY,United States,08/20/2016,08/21/2016,40.712784,-74.005941,http://www.flamecon.org/,,
Fan Expo Canada,Metro Toronto Convention Centre,Toronto,ON,Canada,09/01/2016,09/04/2016,43.653226,-79.383184,http://www.fanexpocanada.com/,,
Charlotte MiniCon 2016,Grady Cole Center,Charlotte,NC,United States,01/30/2016,,35.227087,-80.843127,https://www.facebook.com/events/427010374153527/,,
Orlando Toy and Comic Con,Holiday Inn Hotel & Suites Across From Universal Orlando,Orlando,FL,United States,01/31/2016,,28.538335,-81.379237,http://orlandotoyandcomiccon.com/,,
MetaCon,Hyatt Regency Minneapolis,Minneapolis,MN,United States,09/02/2016,09/04/2016,44.977753,-93.265011,http://www.metaconvention.com/,,
Comic Art Con,Clarion Hotel Empire Meadowlands Hotel,Secaucus,NJ,United States,09/25/2016,,40.789545,-74.056530,http://comicartshowcase.com/,,
Boston Comic Con,Seaport World Trade Center,Boston,MA,United States,08/04/2017,08/06/2017,42.348696,-71.042529,http://bostoncomiccon.com/,,
